Start of File
70356,-0.14,0.59,9.64,-0.01,-0.03,0.18,-25.30,36.12,-11.68,---------------,0.23,0.00,9.85,0.01,-0.00,0.18,-15.29,-23.95,-15.29,€,0,
70369,-0.11,0.69,9.80,-0.00,-0.02,0.16,-25.17,35.63,-12.03,---------------,0.15,0.29,9.84,0.01,-0.01,0.14,-15.07,-23.53,-15.29,€,0,
70386,-0.11,0.78,9.70,-0.00,-0.01,0.12,-24.86,35.71,-10.96,---------------,0.19,0.33,9.91,0.00,-0.01,0.11,-14.95,-24.50,-14.59,€,0,
70399,-0.36,1.71,9.21,-0.03,-0.02,0.08,-24.96,36.17,-11.98,---------------,0.26,1.10,9.83,0.00,-0.01,0.03,-14.59,-23.87,-15.04,€,0,
70412,-0.12,0.67,10.02,0.01,-0.01,0.00,-25.08,36.33,-12.31,---------------,0.15,0.05,10.08,-0.02,-0.01,-0.00,-15.24,-24.04,-16.69,€,0,
70424,-0.25,-0.20,9.28,-0.00,-0.01,-0.01,-24.83,36.33,-11.31,---------------,0.29,0.40,10.05,0.01,-0.02,-0.01,-15.32,-23.72,-16.00,€,0,
70441,-0.15,-0.14,9.94,0.00,-0.02,-0.00,-25.01,36.03,-11.63,---------------,0.16,-0.17,9.88,-0.00,-0.01,-0.01,-15.07,-23.22,-16.18,€,0,
70460,-0.22,0.08,9.50,0.01,-0.02,0.00,-24.77,36.39,-11.96,---------------,0.25,0.02,9.85,-0.01,-0.01,-0.00,-15.48,-24.13,-15.93,€,0,
70474,-0.19,0.31,9.86,0.01,-0.02,0.00,-25.20,35.79,-11.91,---------------,0.25,0.04,9.94,0.00,-0.01,-0.01,-15.00,-24.09,-16.11,€,0,
70486,-0.21,0.01,9.79,0.00,-0.02,-0.00,-24.51,36.73,-10.99,---------------,0.26,-0.09,9.91,0.00,-0.01,-0.01,-14.97,-23.31,-15.80,€,0,
70503,-0.23,0.15,9.76,-0.00,-0.02,-0.00,-25.04,36.10,-11.91,---------------,0.26,0.09,9.91,0.01,-0.01,-0.01,-18.68,-23.12,-15.90,€,0,
70516,-0.24,0.28,9.55,-0.00,-0.01,-0.02,-25.04,36.36,-12.77,---------------,0.28,0.21,9.85,0.01,-0.01,-0.02,-15.30,-23.30,-15.48,€,0,
70529,-0.19,0.35,9.75,-0.00,-0.02,-0.03,-24.96,35.98,-11.98,---------------,0.14,0.29,9.77,0.00,-0.01,-0.05,-15.32,-23.08,-15.68,€,0,
70541,-0.03,0.20,10.49,0.00,-0.00,-0.04,-24.48,36.12,-12.04,---------------,0.22,-0.03,10.14,0.01,-0.03,-0.06,-15.81,-23.40,-14.97,€,0,
70559,-0.30,-0.01,8.84,-0.01,-0.00,-0.06,-24.96,36.52,-11.17,---------------,0.24,0.09,9.85,0.00,-0.02,-0.07,-15.43,-23.66,-15.36,€,0,
70572,-0.21,0.21,9.86,-0.00,-0.01,-0.07,-24.89,35.88,-12.01,---------------,0.26,0.11,9.85,-0.00,-0.02,-0.08,-15.32,-24.38,-15.77,€,0,
70585,-0.31,0.24,9.23,0.01,-0.01,-0.08,-24.54,35.74,-11.55,---------------,0.34,0.12,9.84,-0.01,-0.02,-0.09,-15.65,-23.00,-15.83,€,0,
70602,-0.21,0.32,10.21,0.00,-0.02,-0.10,-24.80,35.94,-11.63,---------------,0.28,0.10,9.99,-0.00,-0.02,-0.11,-15.39,-24.09,-16.44,€,0,
70615,-0.22,0.32,9.80,-0.00,-0.01,-0.11,-25.33,36.19,-11.39,---------------,0.29,0.09,9.94,0.00,-0.02,-0.11,-15.33,-23.84,-16.16,€,0,
70627,-0.28,0.18,9.31,-0.01,-0.01,-0.12,-25.33,36.04,-11.69,---------------,0.27,0.09,9.92,0.01,-0.01,-0.13,-15.59,-23.95,-15.33,€,0,
70640,-0.16,0.06,9.71,0.00,-0.02,-0.13,-25.18,36.06,-12.45,---------------,0.21,0.15,9.79,0.00,-0.01,-0.13,-11.28,-23.75,-15.17,€,0,
70657,-0.13,0.08,9.75,0.01,-0.02,-0.13,-24.58,35.44,-10.95,---------------,0.20,0.10,9.86,-0.01,-0.02,-0.14,-14.85,-23.75,-15.84,€,0,
70670,-0.19,0.08,9.70,0.01,-0.02,-0.14,-24.82,35.76,-11.25,---------------,0.23,0.08,9.99,-0.00,-0.02,-0.15,-14.48,-24.16,-15.26,€,0,
70683,-0.16,0.14,9.74,0.01,-0.01,-0.14,-25.20,35.78,-10.93,---------------,0.24,-0.02,10.02,-0.01,-0.02,-0.15,-14.45,-23.87,-15.96,€,0,
70695,-0.21,0.17,9.73,0.00,-0.01,-0.15,-25.52,35.90,-10.93,---------------,0.29,0.05,9.82,-0.00,-0.02,-0.15,-18.27,-23.98,-15.61,€,0,
70719,-0.26,0.12,9.68,0.01,-0.01,-0.15,-25.65,35.68,-11.33,---------------,0.29,0.00,9.91,-0.00,-0.02,-0.16,-14.60,-23.85,-15.36,€,0,
70732,-0.25,-0.08,9.62,0.00,-0.02,-0.15,-25.67,35.76,-11.28,---------------,0.27,-0.03,9.84,-0.01,-0.01,-0.16,-14.51,-23.98,-15.33,€,0,
70746,-0.25,-0.01,9.63,0.00,-0.02,-0.15,-26.37,35.74,-11.17,---------------,0.27,0.03,10.04,-0.00,-0.02,-0.16,-14.69,-24.01,-15.77,€,0,
70757,-0.19,0.03,9.60,0.01,-0.02,-0.15,-26.06,35.34,-11.18,---------------,0.22,0.02,9.88,-0.00,-0.01,-0.16,-13.87,-24.23,-15.08,€,0,
70773,-0.16,0.01,9.76,0.01,-0.02,-0.15,-26.16,35.24,-11.11,---------------,0.20,0.02,9.79,-0.00,-0.01,-0.16,-13.87,-24.33,-15.67,€,0,
70786,-0.15,-0.04,9.90,0.00,-0.01,-0.15,-26.22,35.87,-10.93,---------------,0.22,0.03,9.84,0.00,-0.02,-0.16,-14.02,-23.98,-16.18,€,0,
70799,-0.18,0.02,9.69,0.00,-0.01,-0.15,-26.82,35.97,-12.31,---------------,0.25,0.01,9.84,-0.00,-0.02,-0.15,-13.88,-24.25,-16.08,€,0,
70816,-0.26,-0.05,9.64,0.00,-0.01,-0.15,-26.21,36.13,-11.11,---------------,0.23,-0.04,9.86,-0.00,-0.02,-0.15,-14.19,-24.44,-16.05,€,0,
70829,-0.25,0.02,9.64,0.01,-0.01,-0.14,-26.29,35.31,-11.01,---------------,0.28,-0.05,9.91,0.00,-0.02,-0.14,-14.48,-24.09,-15.19,€,0,
70841,-0.32,-0.00,9.32,0.00,-0.01,-0.14,-26.32,36.01,-11.21,---------------,0.30,-0.07,10.14,0.00,-0.02,-0.14,-14.16,-24.31,-15.61,€,0,
70854,-0.21,-0.15,9.71,0.01,-0.02,-0.13,-26.94,35.56,-11.24,---------------,0.23,-0.09,9.94,-0.01,-0.01,-0.14,-13.99,-24.22,-15.32,€,0,
70871,-0.18,0.02,9.73,0.01,-0.01,-0.13,-26.54,35.34,-12.31,---------------,0.22,0.00,9.81,-0.00,-0.02,-0.14,-14.03,-24.45,-16.50,€,0,
